Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
VIRGINIA,2014,3,3,259,909
WASHINGTON,2014,3,3,380,994
WEST VIRGINIA,2014,3,3,0,116
WISCONSIN,2014,3,3,232,640
WYOMING,2014,3,3,0,0
ALABAMA,2014,4,4,0,361
ALASKA,2014,4,4,0,68
ARIZONA,2014,4,4,0,0
ARKANSAS,2014,4,4,0,362
CALIFORNIA,2014,4,4,855,3833
COLORADO,2014,4,4,395,1296
CONNECTICUT,2014,4,4,0,8
DELAWARE,2014,4,4,38,160
FLORIDA,2014,4,4,857,3409
GEORGIA,2014,4,4,397,2719
HAWAII,2014,4,4,0,2
IDAHO,2014,4,4,83,305
ILLINOIS,2014,4,4,0,14
INDIANA,2014,4,4,118,520
IOWA,2014,4,4,36,69
KANSAS,2014,4,4,61,83
KENTUCKY,2014,4,4,216,938
LOUISIANA,2014,4,4,0,252
MAINE,2014,4,4,0,0
MARYLAND,2014,4,4,0,189
MASSACHUSETTS,2014,4,4,0,938
MICHIGAN,2014,4,4,452,1358
MINNESOTA,2014,4,4,0,0
MISSISSIPPI,2014,4,4,0,583
MISSOURI,2014,4,4,104,466
MONTANA,2014,4,4,68,227
NEBRASKA,2014,4,4,102,102
NEVADA,2014,4,4,57,553
NEW HAMPSHIRE,2014,4,4,0,4
NEW JERSEY,2014,4,4,126,362
NEW MEXICO,2014,4,4,106,495
NEW YORK,2014,4,4,667,1714
NORTH CAROLINA,2014,4,4,926,2965
NORTH DAKOTA,2014,4,4,8,16
OHIO,2014,4,4,312,983
OKLAHOMA,2014,4,4,29,122
OREGON,2014,4,4,223,1022
PENNSYLVANIA,2014,4,4,897,3439
RHODE ISLAND,2014,4,4,0,163
SOUTH CAROLINA,2014,4,4,0,1378
SOUTH DAKOTA,2014,4,4,34,123
TENNESSEE,2014,4,4,237,818
TEXAS,2014,4,4,0,2677
UTAH,2014,4,4,78,272
VERMONT,2014,4,4,0,51
VIRGINIA,2014,4,4,158,1067
WASHINGTON,2014,4,4,334,1328
WEST VIRGINIA,2014,4,4,9,125
WISCONSIN,2014,4,4,249,889
WYOMING,2014,4,4,0,0
ALABAMA,2014,5,5,0,361
ALASKA,2014,5,5,49,117
ARIZONA,2014,5,5,0,0
ARKANSAS,2014,5,5,0,362
CALIFORNIA,2014,5,5,1047,4880
COLORADO,2014,5,5,514,1810
CONNECTICUT,2014,5,5,111,119
DELAWARE,2014,5,5,65,225
FLORIDA,2014,5,5,994,4403
GEORGIA,2014,5,5,348,3067
HAWAII,2014,5,5,3,5
IDAHO,2014,5,5,102,407
ILLINOIS,2014,5,5,33,47
INDIANA,2014,5,5,216,736
IOWA,2014,5,5,23,92
KANSAS,2014,5,5,21,104
KENTUCKY,2014,5,5,407,1345
LOUISIANA,2014,5,5,17,269
MAINE,2014,5,5,0,0
MARYLAND,2014,5,5,319,508
MASSACHUSETTS,2014,5,5,460,1398
MICHIGAN,2014,5,5,453,1811
MINNESOTA,2014,5,5,0,0
MISSISSIPPI,2014,5,5,294,877
MISSOURI,2014,5,5,122,588
MONTANA,2014,5,5,80,307
NEBRASKA,2014,5,5,111,213
NEVADA,2014,5,5,0,553
NEW HAMPSHIRE,2014,5,5,2,6
NEW JERSEY,2014,5,5,218,580
NEW MEXICO,2014,5,5,152,647
NEW YORK,2014,5,5,792,2506
NORTH CAROLINA,2014,5,5,616,3581
NORTH DAKOTA,2014,5,5,8,24
OHIO,2014,5,5,345,1328
OKLAHOMA,2014,5,5,51,173
OREGON,2014,5,5,0,1022
PENNSYLVANIA,2014,5,5,1000,4439
RHODE ISLAND,2014,5,5,0,163
SOUTH CAROLINA,2014,5,5,378,1756
SOUTH DAKOTA,2014,5,5,29,152
TENNESSEE,2014,5,5,207,1025
TEXAS,2014,5,5,0,2677
UTAH,2014,5,5,99,371
VERMONT,2014,5,5,13,64
VIRGINIA,2014,5,5,717,1784
WASHINGTON,2014,5,5,413,1741
WEST VIRGINIA,2014,5,5,37,162
WISCONSIN,2014,5,5,267,1156
WYOMING,2014,5,5,0,0
ALABAMA,2014,6,6,0,361
ALASKA,2014,6,6,25,142
ARIZONA,2014,6,6,0,0
ARKANSAS,2014,6,6,421,783
CALIFORNIA,2014,6,6,1221,6101
COLORADO,2014,6,6,387,2197
CONNECTICUT,2014,6,6,0,119
DELAWARE,2014,6,6,54,279
FLORIDA,2014,6,6,994,5397
GEORGIA,2014,6,6,999,4066
HAWAII,2014,6,6,9,14
IDAHO,2014,6,6,36,443
ILLINOIS,2014,6,6,29,76
INDIANA,2014,6,6,254,990
IOWA,2014,6,6,67,159
KANSAS,2014,6,6,21,125
KENTUCKY,2014,6,6,260,1605
LOUISIANA,2014,6,6,70,339
MAINE,2014,6,6,57,57
MARYLAND,2014,6,6,0,508
MASSACHUSETTS,2014,6,6,428,1826
MICHIGAN,2014,6,6,501,2312
MINNESOTA,2014,6,6,3,3
MISSISSIPPI,2014,6,6,0,877
MISSOURI,2014,6,6,121,709
MONTANA,2014,6,6,0,307
NEBRASKA,2014,6,6,76,289
NEVADA,2014,6,6,248,801
NEW HAMPSHIRE,2014,6,6,2,8
NEW JERSEY,2014,6,6,127,707
NEW MEXICO,2014,6,6,92,739
NEW YORK,2014,6,6,645,3151
NORTH CAROLINA,2014,6,6,1384,4965
NORTH DAKOTA,2014,6,6,8,32
OHIO,2014,6,6,356,1684
OKLAHOMA,2014,6,6,34,207
OREGON,2014,6,6,249,1271
PENNSYLVANIA,2014,6,6,902,5341
RHODE ISLAND,2014,6,6,43,206
SOUTH CAROLINA,2014,6,6,0,1756
SOUTH DAKOTA,2014,6,6,32,184
TENNESSEE,2014,6,6,302,1327
TEXAS,2014,6,6,0,2677
UTAH,2014,6,6,97,468
VERMONT,2014,6,6,0,64
VIRGINIA,2014,6,6,688,2472
WASHINGTON,2014,6,6,425,2166
WEST VIRGINIA,2014,6,6,102,264
WISCONSIN,2014,6,6,254,1410
WYOMING,2014,6,6,0,0
ALABAMA,2014,7,7,0,361
ALASKA,2014,7,7,76,218
ARIZONA,2014,7,7,0,0
ARKANSAS,2014,7,7,347,1130
CALIFORNIA,2014,7,7,1004,7105
COLORADO,2014,7,7,349,2546
CONNECTICUT,2014,7,7,76,195
DELAWARE,2014,7,7,85,364
FLORIDA,2014,7,7,936,6333
GEORGIA,2014,7,7,741,4807
HAWAII,2014,7,7,0,14
IDAHO,2014,7,7,0,443
ILLINOIS,2014,7,7,25,101
INDIANA,2014,7,7,236,1226
IOWA,2014,7,7,21,180
KANSAS,2014,7,7,0,125
