Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
WEST VIRGINIA,2014,3,3,0,32
WISCONSIN,2014,3,3,53,128
WYOMING,2014,3,3,0,0
ALABAMA,2014,4,4,0,100
ALASKA,2014,4,4,0,30
ARIZONA,2014,4,4,0,0
ARKANSAS,2014,4,4,0,142
CALIFORNIA,2014,4,4,330,1098
COLORADO,2014,4,4,52,192
CONNECTICUT,2014,4,4,1,2
DELAWARE,2014,4,4,16,75
FLORIDA,2014,4,4,209,926
GEORGIA,2014,4,4,112,737
HAWAII,2014,4,4,0,2
IDAHO,2014,4,4,0,2
ILLINOIS,2014,4,4,0,6
INDIANA,2014,4,4,29,130
IOWA,2014,4,4,5,9
KANSAS,2014,4,4,11,14
KENTUCKY,2014,4,4,44,247
LOUISIANA,2014,4,4,0,75
MAINE,2014,4,4,0,0
MARYLAND,2014,4,4,0,75
MASSACHUSETTS,2014,4,4,0,204
MICHIGAN,2014,4,4,110,359
MINNESOTA,2014,4,4,0,0
MISSISSIPPI,2014,4,4,0,169
MISSOURI,2014,4,4,54,194
MONTANA,2014,4,4,4,12
NEBRASKA,2014,4,4,10,10
NEVADA,2014,4,4,16,145
NEW HAMPSHIRE,2014,4,4,0,13
NEW JERSEY,2014,4,4,20,73
NEW MEXICO,2014,4,4,9,38
NEW YORK,2014,4,4,96,254
NORTH CAROLINA,2014,4,4,274,841
NORTH DAKOTA,2014,4,4,0,2
OHIO,2014,4,4,83,317
OKLAHOMA,2014,4,4,12,42
OREGON,2014,4,4,28,135
PENNSYLVANIA,2014,4,4,218,907
RHODE ISLAND,2014,4,4,0,9
SOUTH CAROLINA,2014,4,4,0,416
SOUTH DAKOTA,2014,4,4,1,4
TENNESSEE,2014,4,4,60,180
TEXAS,2014,4,4,0,723
UTAH,2014,4,4,11,49
VERMONT,2014,4,4,0,2
VIRGINIA,2014,4,4,34,218
WASHINGTON,2014,4,4,55,242
WEST VIRGINIA,2014,4,4,11,43
WISCONSIN,2014,4,4,65,193
WYOMING,2014,4,4,0,0
ALABAMA,2014,5,5,0,100
ALASKA,2014,5,5,13,43
ARIZONA,2014,5,5,0,0
ARKANSAS,2014,5,5,0,142
CALIFORNIA,2014,5,5,381,1479
COLORADO,2014,5,5,66,258
CONNECTICUT,2014,5,5,1,3
DELAWARE,2014,5,5,19,94
FLORIDA,2014,5,5,237,1163
GEORGIA,2014,5,5,111,848
HAWAII,2014,5,5,1,3
IDAHO,2014,5,5,2,4
ILLINOIS,2014,5,5,12,18
INDIANA,2014,5,5,43,173
IOWA,2014,5,5,1,10
KANSAS,2014,5,5,8,22
KENTUCKY,2014,5,5,111,358
LOUISIANA,2014,5,5,3,78
MAINE,2014,5,5,0,0
MARYLAND,2014,5,5,69,144
MASSACHUSETTS,2014,5,5,71,275
MICHIGAN,2014,5,5,109,468
MINNESOTA,2014,5,5,0,0
MISSISSIPPI,2014,5,5,74,243
MISSOURI,2014,5,5,45,239
MONTANA,2014,5,5,5,17
NEBRASKA,2014,5,5,14,24
NEVADA,2014,5,5,0,145
NEW HAMPSHIRE,2014,5,5,1,14
NEW JERSEY,2014,5,5,54,127
NEW MEXICO,2014,5,5,10,48
NEW YORK,2014,5,5,111,365
NORTH CAROLINA,2014,5,5,197,1038
NORTH DAKOTA,2014,5,5,0,2
OHIO,2014,5,5,108,425
OKLAHOMA,2014,5,5,11,53
OREGON,2014,5,5,0,135
PENNSYLVANIA,2014,5,5,252,1159
RHODE ISLAND,2014,5,5,0,9
SOUTH CAROLINA,2014,5,5,114,530
SOUTH DAKOTA,2014,5,5,0,4
TENNESSEE,2014,5,5,60,240
TEXAS,2014,5,5,0,723
UTAH,2014,5,5,21,70
VERMONT,2014,5,5,0,2
VIRGINIA,2014,5,5,153,371
WASHINGTON,2014,5,5,75,317
WEST VIRGINIA,2014,5,5,13,56
WISCONSIN,2014,5,5,51,244
WYOMING,2014,5,5,0,0
ALABAMA,2014,6,6,0,100
ALASKA,2014,6,6,8,51
ARIZONA,2014,6,6,0,0
ARKANSAS,2014,6,6,106,248
CALIFORNIA,2014,6,6,315,1794
COLORADO,2014,6,6,62,320
CONNECTICUT,2014,6,6,0,3
DELAWARE,2014,6,6,22,116
FLORIDA,2014,6,6,247,1410
GEORGIA,2014,6,6,282,1130
HAWAII,2014,6,6,1,4
IDAHO,2014,6,6,5,9
ILLINOIS,2014,6,6,10,28
INDIANA,2014,6,6,79,252
IOWA,2014,6,6,8,18
KANSAS,2014,6,6,5,27
